EventId,EventTemplate,Occurrences
a6295773,<*> c4:9d:ed:<*>:a1:da DESKTOP-IE8P3M<*>,19
73532e80,<*> 9a:<*>:<*>:ac:<*>:3d,5
a12405ba,86:ea:d9:<*>:<*>:9e,3
6cb6d04d,<*> <*>:ea:d9:<*>:<*>:9e,13
b267a634,<*> <*>:6b:<*>:fb:0f:<*>,1
99067245,<*> <*>:6b:<*>:fb:0f:<*> Luong-s-S24-Ultra,1
005e81e4,<*> <*>:d0:<*>:a8:<*>:d<*>,5
5be3959b,<*> <*>:d0:<*>:a8:<*>:d6 TTDVSBH,5
3c0335f8,5a:f6:ec:f5:2f:<*>,2
5072729e,<*> 5a:f6:ec:f5:2f:<*>,4
44601932,<*> 5a:f6:ec:f5:2f:<*> iPhone,2
fd043908,2e:<*>:<*>:df:8c:d<*>,3
6b8ba29e,<*> 2e:<*>:<*>:df:8c:d<*>,9
c77d088c,<*> 2e:<*>:<*>:df:8c:d7 iPhone,6
d4e4af99,<*> be:a9:<*>:e5:b6:<*>,4
3038afff,<*> be:a9:<*>:e5:b6:<*> iPhone,4
0f6cfdef,DNS-rebind attack detected: <*>,8
5f800b94,c6:<*>:cf:6f:e3:<*>,15
489eff17,5e:<*>:b8:<*>:f5:<*>,2
147d4d34,<*> 5e:<*>:b8:<*>:f5:<*>,4
82a745e6,<*> 5a:<*>:e3:5d:<*>:fd,2
f0764202,<*> 5a:<*>:e3:5d:<*>:fd iPhone,2
53f46beb,<*> <*>:0b:2a:bf:e9:c<*>,12
fce52a55,<*> <*>:0b:2a:bf:e9:c4 vthomeap<*>,12
658a4e0d,<*> <*>:0b:2a:bf:e9:<*>,23
7ff057ab,<*> <*>:0b:2a:bf:e9:<*> vthomeap<*>,23
0d97d02b,<*> <*>:0b:2a:f1:ba:<*>,23
e90844d1,<*> <*>:0b:2a:f1:ba:<*> vthomeap<*>,23
50a48c71,96:<*>:<*>:3f:a5:<*>,2
30f73c13,<*> <*>:<*>:<*>:3f:a5:<*>,10
4bc8c730,<*> <*>:<*>:<*>:3f:a5:<*> OPPO-A15s,8
161f5949,4e:b2:<*>:<*>:<*>:2e,2
94c68822,<*> 4e:b2:<*>:<*>:<*>:2e,6
90526373,<*> 4e:b2:<*>:<*>:<*>:2e iPhone,4
7e53636e,<*> <*>:e4:ec:e2:b9:<*>,10
5a85349d,<*> <*>:e4:ec:e2:b9:<*> M51-cua-Ngoc,4
5bb0eb64,9e:a4:7c:5e:<*>:c<*>,4
b75915db,<*> 9e:a4:7c:5e:<*>:c<*>,10
58599f35,<*> fe:c8:be:<*>:bc:6e,2
9ad094a5,<*> fe:c8:be:<*>:bc:6e iPhone,2
f0ea711a,<*> <*>:ea:2d:9a:<*>:fe,1
152b09f0,<*> <*>:ea:2d:9a:<*>:fe Tiens-iPhone,1
e5e9dc08,<*> 5e:5b:2a:0f:<*>:a<*>,4
1ad5ceec,<*> <*>:de:<*>:<*>:e3:<*>,6
bf914098,90:de:<*>:<*>:e3:<*>,2
719c1553,<*> <*>:de:<*>:<*>:e3:<*> DESKTOP-E27PS1L,3
94d198f4,<*> 5e:5b:2a:0f:<*>:a4 iPhone,3
100a0068,<*> f2:<*>:<*>:<*>:<*>:<*>,1
09d4daf3,<*> f2:<*>:<*>:<*>:<*>:<*> iPhone,1
12f48da5,<*> a2:cd:df:<*>:<*>:f<*>,58
4a8d1017,<*> a2:cd:df:<*>:<*>:f3 Watch,58
3c5720e0,<*> b8:<*>:<*>:2e:c9:bc,1
8b0d2fe1,<*> b8:<*>:<*>:2e:c9:bc DESKTOP-KT0P<*>,1
949be809,<*> <*>:<*>:7c:a9:dd:f<*>,4
903a2715,<*> <*>:2e:<*>:d0:cb:f<*>,4
02f5bad8,<*> 8a:<*>:7b:3a:<*>:b<*>,1
12e92737,<*> 8a:<*>:7b:3a:<*>:b3 iPhone,1
ab577270,<*> ee:<*>:<*>:<*>:ff:c<*>,6
9b59ec98,ee:<*>:<*>:<*>:ff:c<*>,2
f345a581,<*> a2:<*>:0d:<*>:bd:b<*>,2
f352c63e,7a:<*>:ea:<*>:<*>:<*>,1
3e8365ee,<*> 7a:<*>:ea:<*>:<*>:<*>,2
affeb6cd,<*> 7a:<*>:ea:<*>:<*>:<*> tuanhace-s-Samsung-S20-FE,1
157b8b15,<*> b4:6b:fc:<*>:cb:0e,12
a7b03707,<*> b4:6b:fc:<*>:cb:0e cuongvn,12
15fc6407,f4:<*>:2a:<*>:<*>:ae,10
83f3e616,<*> f4:<*>:2a:<*>:<*>:ae,16
dca9d844,8e:f6:3b:e6:d6:<*>,1
4f5da28a,<*> 8e:f6:3b:e6:d6:<*>,2
3ca76f3b,<*> 8e:f6:3b:e6:d6:<*> iPhone,1
71062225,12:5c:<*>:1d:fb:<*>,11
b50a03da,<*> f4:<*>:e2:bf:8a:1e,7
4b48609d,<*> f4:<*>:e2:bf:8a:1e POCOPHONEF1-POCOPHON,4
ecb0e806,<*> <*>:b9:6c:dc:<*>:e<*>,1
db014d49,<*> <*>:b9:6c:dc:<*>:e0 Redmi-Note-<*>,1
e627c20e,f8:4e:<*>:a7:7d:<*>,1
83cdb60a,<*> f8:4e:<*>:a7:7d:<*>,2
037d524f,<*> f8:4e:<*>:a7:7d:<*> Hiu,1
10bcab90,<*> fa:0c:e5:dd:5c:b<*>,14
efd718f9,<*> fa:0c:e5:dd:5c:b4 Tab-S6-Lite-cua-Hoan,14
d993e953,<*> <*> wrong server-ID,5
fa41349e,<*> f4:4e:e3:d5:bc:8b,1
0cbb6806,<*> f4:4e:e3:d5:bc:8b TABLET-KQJN2OFE,1
9595e226,<*> a8:<*>:a4:1a:8c:b<*>,13
c64a21ad,<*> a8:<*>:a4:1a:8c:b9 WIN-OO0O5MDB<*>,13
771039af,<*> <*>:af:<*>:<*>:d0:<*>,3
